id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
62015,Rental unit in Amsterdam · ★4.91 · 1 bedroom · 1 bed · 1.5 baths,301340,Jessica,,Oud-Oost,52.36431,4.93122,Entire home/apt,131,2,35,2021-11-14,0.22,1,33,0,0363 B090 499C D757 7F4F
80635,Home in Amsterdam · ★4.77 · 1 bedroom · 1 bed · 1.5 baths,436145,Riks,,Centrum-West,52.37828,4.8944,Private room,116,3,241,2022-12-31,1.56,4,0,2,0363 4108 6EC3 C2FF 2493
91535,Boat in Amsterdam · ★4.76 · 1 bedroom · 1 bed · 1.5 baths,494281,Michiel,,De Pijp - Rivierenbuurt,52.35774,4.89647,Private room,186,1,184,2023-11-26,1.22,1,0,78,0363 74BA 2074 E0CF 1CB8
97221,Bed and breakfast in Amsterdam · ★4.65 · 1 bedroom · 2 beds · 1 shared bath,195859,Gianni,,Slotervaart,52.34801,4.83639,Private room,59,2,311,2023-11-16,2.05,2,266,55,0363 BCBA 6311 3268 DC8C
137026,Townhouse in Amsterdam · ★4.75 · 4 bedrooms · 4 beds · 2.5 baths,670266,Ton & Fede,,De Pijp - Rivierenbuurt,52.35178,4.90699,Entire home/apt,350,2,103,2023-08-16,0.71,1,95,4,0363 67D6 8568 BA8A F738
155548,Rental unit in Amsterdam · ★4.76 · 1 bedroom · 1 bed · 1.5 baths,748161,Maria,,Oud-Oost,52.3642,4.92829,Entire home/apt,200,3,21,2019-08-20,0.14,1,0,0,0363 A562 4D7E 4A91 60DF
158633,Home in Amsterdam · ★4.50 · 3 bedrooms · 4 beds · 1 bath,761321,Marlouke,,Noord-Oost,52.39364,4.94538,Entire home/apt,260,3,14,2013-08-19,0.09,1,43,0,0363 D141 1024 C60E 96BA
168769,Boutique hotel in Amsterdam · ★4.59 · 1 bedroom · 1 bed · 1.5 baths,436145,Riks,,Centrum-West,52.37956,4.89359,Private room,126,3,279,2022-12-29,1.88,4,0,3,0363 4108 6EC3 C2FF 2493
171054,Rental unit in Amsterdam · ★4.75 · 2 bedrooms · 3 beds · 1 bath,815989,Kamiel,,De Baarsjes - Oud-West,52.36768,4.86646,Entire home/apt,120,3,103,2018-11-28,0.68,1,0,0,0363 BDF7 C0EC 9B88 DECA
179528,Rental unit in Amsterdam · ★4.58 · 2 bedrooms · 2 beds · 1.5 baths,856540,Pierre,,De Pijp - Rivierenbuurt,52.34332,4.89484,Entire home/apt,480,14,33,2023-10-09,0.22,2,331,2,0363 1C26 67B4 C610 1758
188347,Rental unit in Amsterdam · ★4.66 · 1 bedroom · 1 bed · 1 shared bath,907405,Yahav,,De Baarsjes - Oud-West,52.3683,4.85446,Private room,72,2,398,2023-07-13,2.66,1,40,15,0363 7C68 38F7 176D 8CDF
189754,Loft in Amsterdam · ★4.80 · 1 bedroom · 3 beds · 1 bath,915591,Marijn,,Centrum-West,52.37548,4.89398,Entire home/apt,260,2,338,2023-12-10,2.27,1,179,63,0363 08BD B22D FCC2 5F83
190943,Rental unit in Amsterdam · ★4.46 · 2 bedrooms · 2 beds · 1 bath,922787,Nanna,,Zuid,52.35222,4.84789,Entire home/apt,225,3,13,2023-08-27,0.09,1,0,3,0363 4A1B 33D4 F6C1 F255
193038,Loft in Amsterdam · ★4.97 · 1 bedroom · 1 bed · 1 private bath,935742,Johan,,Centrum-Oost,52.36057,4.89671,Private room,153,3,686,2023-10-09,4.60,1,0,17,0363 E04C 4DED 8CA7 F902
212050,Rental unit in Amsterdam · ★4.71 · 2 bedrooms · 2 beds · 1.5 baths,887591,Danielle,,De Baarsjes - Oud-West,52.36698,4.86622,Entire home/apt,246,3,22,2023-08-25,0.15,1,0,3,0363 9A8D FAD3 3822 96CB
213371,Rental unit in Amsterdam · ★4.83 · 3 bedrooms · 4 beds · 1.5 baths,1100324,Hendrik,,De Pijp - Rivierenbuurt,52.3515,4.89656,Entire home/apt,270,4,23,2023-06-17,0.15,1,0,2,0363 F88F 4B47 6E9B 225B
214531,Rental unit in Amsterdam · ★4.82 · 1 bedroom · 2 beds · 1 private bath,1107389,Henry,,Centrum-West,52.37169,4.89446,Private room,115,3,169,2022-06-26,1.15,1,0,0,0363 1939 7BED DDCD 0353
217752,Rental unit in Amsterdam · ★4.80 · 1 bedroom · 1 bed · 1 bath,305025,Fabio,,Centrum-West,52.37696,4.87891,Entire home/apt,200,3,11,2016-05-22,0.08,1,86,0,0363 8573 CC53 1AF8 C0D9
219276,Guest suite in Amsterdam · ★4.88 · 1 bedroom · 1 bed · 1 private bath,1135329,Amsterdam Boutique Apartments,,Centrum-West,52.36883,4.88749,Private room,300,2,16,2022-10-23,0.12,1,0,0,0363 1179 146A FBDB 79FC
222516,Rental unit in Amsterdam · ★4.71 · 1 bedroom · 1 bed · 1.5 baths,1155595,Alex,,De Baarsjes - Oud-West,52.36271,4.85875,Entire home/apt,116,3,142,2023-10-23,0.96,1,3,3,0363 6ADC 900E 6878 AC7C
245927,Guest suite in Amsterdam · ★4.84 · 2 bedrooms · 3 beds · 1.5 baths,1005087,Wytse,,Centrum-West,52.36815,4.88604,Entire home/apt,331,2,201,2023-11-27,1.42,1,291,39,0363 E3FA A6F6 2112 7636
247805,Rental unit in Amsterdam · ★4.88 · 1 bedroom · 1 bed · 1.5 baths,1298735,Carolien,,De Baarsjes - Oud-West,52.36707,4.87348,Private room,132,2,443,2023-11-06,3.01,1,0,59,0363 157A 14AF 5451 77C3
252080,Home in Amsterdam · ★4.94 · 4 bedrooms · 4 beds · 3.5 baths,1322517,Evan,,Centrum-Oost,52.36936,4.90963,Entire home/apt,360,3,19,2023-10-29,0.13,1,0,5,0363 4B98 6C27 7CA6 62B9
254800,Rental unit in Amsterdam · ★4.94 · 1 bedroom · 1 bed · 1.5 baths,1337537,Diederik,,Centrum-West,52.37122,4.88211,Entire home/apt,296,2,63,2022-10-14,0.49,1,0,0,0363 7E3F 1742 B05C 9E62
255809,Loft in Amsterdam · ★4.89 · 2 bedrooms · 2 beds · 1 private bath,1344947,Flo&André,,De Pijp - Rivierenbuurt,52.34416,4.88709,Private room,159,2,187,2023-12-03,1.32,1,0,36,0363 A842 020A 9193 B416
256670,Condo in Amsterdam · ★4.63 · 3 bedrooms · 6 beds · 3.5 baths,1350388,Stefan En Annemiek,,De Baarsjes - Oud-West,52.35861,4.86023,Entire home/apt,420,5,8,2023-08-12,0.06,1,0,1,0363 C0B2 9294 5CCE 6AF3
262394,Rental unit in Amsterdam · ★4.83 · 1 bedroom · 1 bed · 1 private bath,1376607,Martin,,Zuid,52.35695,4.85234,Private room,88,3,113,2019-10-07,0.80,1,0,0,0363 B86D 98DE 3A24 8790
274688,Condo in Amsterdam · ★4.85 · 1 bedroom · 1 bed · 1 bath,1435990,Marij,,Bos en Lommer,52.37977,4.85574,Entire home/apt,146,4,49,2023-06-03,0.34,1,39,6,0363 04FA C38F 7362 8C6D
283170,Rental unit in Amsterdam · ★4.51 · 5 bedrooms · 8 beds · 1.5 baths,1451657,Marco,,Zuid,52.35435,4.87316,Entire home/apt,979,2,124,2023-10-08,0.87,1,0,7,0363 0240 34A0 48C3 6D81
286500,Rental unit in Amsterdam · ★4.91 · 1 bedroom · 1 bed · 1 private bath,1491565,David,,Centrum-West,52.37561,4.9,Private room,146,3,367,2023-12-07,2.54,2,191,29,0363 DF01 FBC0 496B 9730
290701,Home in Amsterdam · ★4.86 · 1 bedroom · 1 bed · 1 private bath,1491565,David,,Centrum-West,52.37561,4.9,Private room,143,3,438,2023-12-08,3.05,2,210,39,0363 DF01 FBC0 496B 9730
291752,Rental unit in Amsterdam · ★4.87 · 1 bedroom · 1 bed · 1 bath,1511330,Ton,,Oud-Oost,52.35179,4.91082,Private room,126,3,253,2023-11-18,1.74,1,321,26,0363 6ACC BA1B 12A9 60C1
304082,Bed and breakfast in Amsterdam · ★4.76 · 1 bedroom · 1 bed · 1.5 baths,276068,Mirre,,Centrum-West,52.37239,4.89657,Private room,137,3,281,2023-11-06,1.97,1,293,70,0363 6C40 7413 ADD3 9AF8
304143,Boat in Amsterdam · ★4.55 · 1 bedroom · 1 bed · 1 bath,1565319,Dick,,Oud-Oost,52.3623,4.92028,Entire home/apt,88,28,50,2020-03-07,0.35,1,0,0,0363AF9644094CEBCE6B
306852,Rental unit in Amsterdam · ★4.63 · 2 bedrooms · 2 beds · 1.5 baths,1141485,Gisèle And Simon,,Centrum-Oost,52.35931,4.89844,Entire home/apt,200,4,32,2023-04-01,0.23,3,0,1,0363 33C3 B936 3911 FC42
307497,Boat in Amsterdam · ★4.86 · 10 bedrooms · 26 beds · 2.5 baths,176944339,Dion,,Westerpark,52.39185,4.8869,Entire home/apt,1233,2,101,2023-06-25,0.74,2,180,4,Exempt
307621,Rental unit in Amsterdam · ★4.83 · 1 bedroom · 1 bed · 1 bath,1141485,Gisèle And Simon,,Centrum-Oost,52.35871,4.89616,Entire home/apt,155,3,6,2023-03-27,0.05,3,0,4,0363 33C3 B936 3911 FC42
308028,Rental unit in Amsterdam · ★4.75 · 1 bedroom · 1 bed · Private half-bath,1141485,Gisèle And Simon,,Centrum-Oost,52.35972,4.8975,Private room,100,3,36,2023-02-28,0.30,3,0,1,0363 33C3 B936 3911 FC42
311124,Rental unit in Amsterdam · ★4.77 · 1 bedroom · 1 bed · 1 bath,1600010,Anke & Robert,,Centrum-West,52.37104,4.87713,Entire home/apt,450,3,91,2023-10-14,0.64,1,362,5,0363 59D8 7D30 6CFA DC81
327285,Home in Amsterdam · ★4.93 · 1 bedroom · 6 beds · 1.5 baths,1672823,Ester,,De Pijp - Rivierenbuurt,52.35625,4.89323,Private room,236,3,626,2023-12-04,4.37,1,60,83,0363 8A88 B129 62B5 BD4E
331946,Loft in Amsterdam · ★4.89 · 4 bedrooms · 5 beds · 2 baths,1687595,Sebastiaan,,De Baarsjes - Oud-West,52.3606,4.85739,Entire home/apt,275,4,28,2023-10-28,0.23,1,23,3,0363 A942 21DC C431 1AD1
343094,Townhouse in Watergraafsmeer · ★4.90 · 1 bedroom · 1 bed · 1 private bath,1740785,Rob & Fang,,Oud-Oost,52.35715,4.90926,Private room,98,5,504,2023-11-20,3.56,1,0,54,0363 FC71 F7DB 3AB4 3C42
357980,Townhouse in Amsterdam · ★4.86 · 4 bedrooms · 4 beds · 1.5 baths,1811745,Marre,,De Baarsjes - Oud-West,52.36348,4.87648,Entire home/apt,245,3,132,2023-08-20,0.93,1,4,13,0363 799F 0610 C059 F9F4
366438,Condo in Amsterdam · ★4.76 · 1 bedroom · 1 bed · 1.5 baths,1849988,Nicolet,,Centrum-Oost,52.367377549542454,4.896707133551012,Private room,145,3,500,2023-12-05,3.52,1,150,43,0363 BD40 0F80 50E7 8478
367107,Condo in Amsterdam · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,1853421,Marijn,,Centrum-Oost,52.36263,4.90216,Entire home/apt,529,5,19,2023-07-14,0.19,1,83,4,0363 1761 5C93 2C93 93FE
367491,Rental unit in Amsterdam · ★4.91 · 1 bedroom · 1 bed · 1.5 baths,1855417,Maarten,,De Baarsjes - Oud-West,52.364,4.87814,Entire home/apt,239,4,85,2023-11-11,0.60,1,14,10,0363 7096 B559 45DB 421C
379885,Houseboat in Watergraafsmeer · ★4.66 · 1 bedroom · 1 bed · 1 private bath,1907015,Masha,,De Pijp - Rivierenbuurt,52.354647769336964,4.906100814228655,Private room,222,3,94,2023-10-29,0.67,1,338,7,0363 3FE4 07B5 85AA 55F8
414865,Rental unit in Amsterdam · ★4.89 · 1 bedroom · 1 bed · 1 bath,2063261,Miranda,,Zuid,52.35043,4.84676,Entire home/apt,150,4,9,2023-01-04,0.09,1,42,1,0363 DC39 26C1 3541 47BF
415619,Rental unit in Zeeburg · ★4.88 · 1 bedroom · 1 bed · 1 bath,1336633,Stephan,,Oostelijk Havengebied - Indische Buurt,52.36905,4.93528,Entire home/apt,145,2,80,2023-06-27,0.57,1,6,6,0363 09A6 8FFA 6EC4 805F
432233,Condo in Amsterdam · ★4.81 · 1 bedroom · 1 bed · 1 bath,2144360,Feiko,,Centrum-Oost,52.3609619140625,4.88822603225708,Entire home/apt,381,5,27,2023-05-16,0.19,1,0,1,0363 DA8F B298 31AF FE9B
440992,Boat in Amsterdam · ★4.88 · 2 bedrooms · 2 beds · 1 bath,2191136,Jan,,Zuid,52.341621,4.849049,Entire home/apt,200,3,128,2023-06-28,0.91,1,8,8,0363 6532 4C0A A235 9114
441424,Home in Amsterdam · ★4.63 · 3 bedrooms · 3 beds · 2 baths,2193861,Marco,,Oostelijk Havengebied - Indische Buurt,52.37281,4.94303,Entire home/apt,175,3,41,2023-08-21,0.30,1,0,4,0363B9396B464F7B165A
445660,Guest suite in Amsterdam · ★4.80 · 2 bedrooms · 3 beds · 1 private bath,2202945,Heleen,,De Baarsjes - Oud-West,52.37001,4.85646,Private room,80,2,527,2023-11-01,3.74,1,167,61,0363 1D15 382F 70B9 6319
450767,Boat in Amsterdam · ★4.73 · 2 bedrooms · 3 beds · 1 bath,2238440,Richard En Birgit,,Centrum-Oost,52.37006,4.90081,Entire home/apt,320,3,218,2023-11-26,1.60,2,149,74,0363 DB37 0A9B 68B2 4474
462341,Home in Amsterdam · ★4.98 · 3 bedrooms · 3 beds · 1.5 baths,2297302,Milen & Joes,,Centrum-West,52.3739,4.89263,Entire home/apt,245,4,43,2023-10-28,0.41,1,9,5,0363 C83F 9271 BA8F 23ED
483779,Rental unit in Amsterdam · ★4.88 · 2 bedrooms · 1 bed · 1 private bath,2395278,Alex,,Slotervaart,52.3509,4.83293,Private room,,2,34,2017-10-22,0.39,1,0,0,0363 0306 F66C F808 A78D
503629,Rental unit in Amsterdam · ★4.82 · 3 bedrooms · 3 beds · 1 bath,2483843,Alban,,Zuid,52.3543,4.87701,Entire home/apt,120,5,11,2019-07-28,0.09,1,0,0,0363 E959 5BC3 BBA6 1C6E
505012,Rental unit in Amsterdam · ★4.74 · 3 bedrooms · 5 beds · 1 bath,1645998,Djoke,,Centrum-Oost,52.36412,4.88757,Entire home/apt,554,2,61,2023-05-10,0.45,1,1,2,0363 5F8A A57B 18E0 63BB
507598,Rental unit in Amsterdam · ★4.74 · 2 bedrooms · 3 beds · 1 bath,2501656,Stephanie,,Centrum-West,52.37694,4.88003,Entire home/apt,500,3,62,2019-06-16,0.44,1,158,0,0363 E6C4 FEF6 F27C DCF5
515088,Condo in Amsterdam · 1 bedroom · 2 beds · 1.5 baths,2536879,Hansje,,Noord-Oost,52.39675,4.99603,Entire home/apt,180,2,1,2019-03-10,0.02,1,344,0,0363 0A94 AAA2 B228 0695
515749,Boat in Amsterdam · ★4.89 · 1 bedroom · 1 bed · 1 bath,2540480,Derk,,Centrum-Oost,52.35902,4.89606,Private room,190,3,264,2023-12-03,1.90,1,325,50,0363CB2056581DF32788
515921,Rental unit in Amsterdam · ★4.33 · 2 bedrooms · 1 bed · 1.5 baths,2541099,Anne-Marie,,Zuid,52.35022,4.8525,Entire home/apt,175,2,94,2023-08-27,0.67,1,46,9,0363 676E D52D A47D 768A
517996,Rental unit in Amsterdam · ★4.89 · 1 bedroom · 1 bed · 1 bath,2550339,Aemilia,,Centrum-West,52.37827,4.88568,Entire home/apt,450,3,27,2023-09-16,0.20,1,138,4,0363 7EFC D96F 5878 3F49
522471,Rental unit in Amsterdam · ★4.96 · 4 bedrooms · 4 beds · 1.5 baths,2569931,Harriet,,Bos en Lommer,52.3774,4.851,Entire home/apt,190,7,27,2023-08-07,0.21,1,6,2,0363 1139 9247 9E72 640C
528022,Boat in Amsterdam · ★4.86 · 1 bedroom · 1 bed · 1.5 baths,2594559,Els,,Westerpark,52.39114,4.88846,Private room,110,2,287,2023-11-26,3.28,1,0,40,0363 9289 A94D 5C21 A579
537321,Rental unit in Amsterdam · ★4.91 · 2 bedrooms · 1 bath,2639261,Vera,,De Baarsjes - Oud-West,52.37275,4.86189,Entire home/apt,200,29,33,2022-05-21,0.35,1,0,0,0363 5D25 30AA 5523 4B79
538723,Condo in Amsterdam · ★4.84 · 2 bedrooms · 2 beds · 1.5 baths,356740,Dimphy,,Watergraafsmeer,52.354,4.93965,Entire home/apt,140,5,57,2020-01-01,0.41,1,0,0,0363 D990 F92F DECF 88D4
549310,Rental unit in Amsterdam · ★4.56 · 2 bedrooms · 4 beds · 1 bath,2699033,Barbara,,De Baarsjes - Oud-West,52.37126,4.86241,Entire home/apt,280,2,59,2023-08-10,0.58,1,0,5,0363 35CD 76C9 04D4 1A21
553514,Rental unit in Amsterdam · ★4.41 · Studio · 1 bed · 1.5 baths,618589,Mirjam,,Westerpark,52.38444,4.86916,Entire home/apt,80,2,162,2020-02-16,1.22,1,2,0,0363 AD82 ADCF 17F3 C3EA
556829,Rental unit in Amsterdam · ★4.64 · 1 bedroom · 1 bed · 1 bath,2737834,Sophia,,Buitenveldert - Zuidas,52.33558,4.86878,Entire home/apt,139,3,27,2022-08-29,0.20,2,0,0,0363 957A 9061 D805 A3EC
561297,Rental unit in Amsterdam · ★4.89 · 1 bedroom · 1 bed · 2 baths,72249,Hanneke,,Centrum-West,52.36864,4.87943,Private room,149,1,28,2023-11-27,0.24,2,252,2,0363 2C86 CDC3 D5F6 DCA9
568446,Rental unit in Amsterdam · ★4.82 · 2 bedrooms · 2 beds · 1 bath,2797260,Noriko,,Centrum-Oost,52.37079,4.90153,Entire home/apt,150,3,108,2022-08-04,0.79,1,0,0,0363 2BD0 289D BF51 4A09
570753,Bed and breakfast in Amsterdam · ★4.87 · 1 bedroom · 2 beds · 1.5 shared baths,2439449,Henriette,,Zuid,52.34904,4.86765,Private room,85,4,386,2023-08-04,2.79,1,222,7,0363 7215 8083 16CB E805
575603,Loft in Amsterdam · ★4.85 · 4 bedrooms · 4 beds · 2.5 baths,2830952,Henning,,Centrum-Oost,52.36112,4.89462,Entire home/apt,245,5,20,2023-01-04,0.18,2,6,1,0363 6703 A9A1 6C28 ECD5
579851,Guest suite in Amsterdam · ★4.97 · 1 bedroom · 1 bed · 1 private bath,2851886,Sonja,,Westerpark,52.39144,4.88436,Private room,149,2,570,2023-11-26,4.19,1,0,36,0363 74BB 1569 D1B7 ADBE
582028,Rental unit in Amsterdam · ★4.75 · 1 bedroom · 1 bed · 1.5 baths,2865851,Oliver,,Slotervaart,52.36022,4.84346,Entire home/apt,145,7,12,2023-03-18,0.10,1,152,1,0363 6AE3 C6BD AA79 AB13
582382,Townhouse in Amsterdam · ★4.79 · 2 bedrooms · 2 beds · 1.5 baths,2868026,Emer,,Oud-Noord,52.39442,4.91478,Entire home/apt,180,5,19,2023-08-27,0.14,1,0,1,0363 DAA7 B561 AC39 BB65
584258,Condo in Amsterdam · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,2878977,Jis,,Zuid,52.35499,4.85384,Entire home/apt,190,4,13,2023-11-01,0.12,1,20,2,0363 B366 413F 7CD5 64DB
588020,Rental unit in Amsterdam · ★4.53 · 3 bedrooms · 6 beds · 1 bath,1759884,Ivan,,Centrum-Oost,52.36918,4.91316,Entire home/apt,360,3,295,2023-11-15,2.74,3,212,61,Exempt
590236,Rental unit in Amsterdam · ★4.88 · 1 bedroom · 1 bed · 1 bath,2912339,Kelli,,De Baarsjes - Oud-West,52.36809,4.85436,Entire home/apt,150,3,51,2023-12-04,0.38,1,140,6,0363 058A D932 3063 B1F7
590386,Rental unit in Amsterdam · ★4.83 · 4 bedrooms · 4 beds · 1.5 baths,2913467,Ido,,Watergraafsmeer,52.35567,4.93175,Entire home/apt,200,7,7,2017-07-29,0.05,1,0,0,0363 A0F4 086A 0905 8765
590681,Rental unit in Amsterdam · ★4.96 · 4 bedrooms · 1 bed · 2 baths,2914846,Lotte,,Zuid,52.34788,4.8506,Entire home/apt,380,2,25,2023-10-16,0.18,1,11,6,0363 9A2B 5A8C 1B13 AF1B
606871,Boat in Amsterdam · ★4.77 · 1 bedroom · 1 bed · 1 private bath,3007402,Diewert,,Westerpark,52.37621,4.87075,Private room,127,1,484,2023-11-27,3.76,1,333,94,0363 48AF 9151 13B6 2543
608432,Bed and breakfast in Amsterdam · ★4.75 · Studio · 1 bed · 1 shared bath,3015785,Erik And Mary Jo,,Centrum-West,52.381996,4.888583,Private room,106,1,852,2023-12-09,6.18,2,58,95,0363 AACD 8155 9F76 50DA
613088,Farm stay in Amsterdam · ★4.86 · 1 bedroom · 1 bed · 1 private bath,3040748,Henk,,Noord-Oost,52.41016,4.96369,Private room,87,2,415,2023-05-28,3.02,9,0,10,0363 C2FC D0FB 68D9 2F58
620056,Rental unit in Amsterdam · ★4.97 · 1 bedroom · 1 bed · 1 bath,2782084,Marieke,,Westerpark,52.3884,4.87148,Entire home/apt,199,3,29,2019-07-18,0.21,1,78,0,0363 2FF0 BE81 5B19 5B5A
623123,Rental unit in Amsterdam · ★5.0 · 3 bedrooms · 2 beds · 3 baths,2695123,Janne,,De Baarsjes - Oud-West,52.36247,4.86534,Entire home/apt,450,3,30,2023-08-27,0.22,1,0,5,0363 C125 F449 C407 9F89
627188,Bed and breakfast in Amsterdam · ★4.86 · Studio · 1 bed · 1 shared bath,3015785,Erik And Mary Jo,,Centrum-West,52.381996,4.888583,Private room,116,1,589,2023-12-10,4.26,2,63,87,0363 AACD 8155 9F76 50DA
627213,Houseboat in Amsterdam · ★5.0 · 3 bedrooms · 3 beds · 2.5 baths,3113556,Ingmar,,Zuid,52.35094,4.88552,Entire home/apt,100,7,14,2018-06-21,0.10,1,0,0,0363 DDEB 4C21 A90A B9DD
633585,Rental unit in Amsterdam · ★4.82 · 1 bedroom · 1 bed · 1 bath,898904,Sietske,,De Pijp - Rivierenbuurt,52.34918,4.89197,Entire home/apt,125,4,92,2023-07-16,0.67,1,0,3,0363 7E98 4CFE 07C1 0AD3
634170,Loft in Amsterdam · ★4.88 · Studio · 4 beds · 1 bath,3078488,Carolina,,Westerpark,52.38388,4.86562,Entire home/apt,109,91,148,2022-06-30,1.08,1,102,0,Exempt
653459,Home in Amsterdam · ★4.94 · 4 bedrooms · 5 beds · 3.5 baths,1634910,Derk,,Buitenveldert - Zuidas,52.32237,4.86024,Entire home/apt,240,6,18,2022-07-31,0.23,1,0,0,0363 05B8 09C7 203A E42A
653596,Rental unit in Amsterdam · ★4.55 · 1 bedroom · 1 bed · 1 bath,3287406,Jeroen,,De Baarsjes - Oud-West,52.36976,4.87374,Entire home/apt,300,4,29,2023-08-28,0.21,1,89,1,0363 0776 69DB 07E7 317E
654931,Bed and breakfast in Amsterdam · ★4.87 · 1 bedroom · 1 bed · 1 private bath,3278419,Matthijs,,Centrum-West,52.37167,4.8948,Hotel room,131,1,887,2023-12-03,6.48,2,124,103,0363 4587 2DC3 051C 3FCA
655216,Bed and breakfast in Amsterdam · ★4.90 · 1 bedroom · 1 bed · 1 private bath,3278419,Matthijs,,Centrum-West,52.37098,4.89434,Hotel room,145,1,788,2023-12-07,5.78,2,0,103,0363 4587 2DC3 051C 3FCA
658063,Bed and breakfast in Amsterdam · ★4.36 · 1 bedroom · 3 beds · 1 bath,3317069,Marfi,,De Baarsjes - Oud-West,52.36188,4.87694,Private room,160,3,117,2023-09-19,0.88,1,36,1,ABCD 1234 AB12 89EF A0F9
660856,Townhouse in Amsterdam · ★4.83 · 4 bedrooms · 6 beds · 3 baths,3336575,Maaike,,Watergraafsmeer,52.3551,4.93262,Entire home/apt,395,28,40,2023-07-29,0.30,1,36,1,0363 528E 3889 FA20 43A1
664697,Loft in Amsterdam · ★4.33 · 1 bedroom · 1 bed · 1.5 baths,1406783,Alicia,,Oud-Noord,52.38537,4.90241,Entire home/apt,87,30,62,2018-06-30,0.45,2,236,0,Exempt
667305,Rental unit in Amsterdam · ★4.97 · 1 bedroom · 1 bed · 1.5 baths,3375589,Fred Alexander,,Noord-West,52.41878,4.89397,Entire home/apt,166,5,37,2023-10-11,0.29,1,365,14,0363 1466 FFED D078 9856
679838,Condo in Amsterdam · ★4.95 · 1 bedroom · 1 bed · 1.5 baths,22642887,Marianne,,Centrum-Oost,52.367889404296875,4.903494834899902,Entire home/apt,550,3,56,2023-07-25,0.49,1,0,2,0363 0B70 756D 626C F77C
683431,Rental unit in Amsterdam · ★4.68 · 1 bedroom · 1 bed · 1 private bath,2309485,Ned,,De Pijp - Rivierenbuurt,52.34557,4.8962,Private room,89,1,644,2023-12-02,5.65,1,59,85,0363 0BD4 E0F6 EDD1 59C7
